Month,CV RA SUX;MARAK PARTNERSHIP 1H,CV RA SUZ;Stone 3H,CV RA SU107;M WILLIAMS SR 35 H,CV RA SULL;WEYERHAEUSER 15H,Turner 3H,Breffeilh 11H,Atwood 11H,,Turner 34H,Williams 2H,Funston 12H
,Mcf/Mth,Mcf/Mth,Mcf/Mth,Mcf/Mth,Mcf/Mth,Mcf/Mth,Mcf/Mth,Mcf/Mth,Mcf/Mth,Mcf/Mth,Mcf/Mth
,,,,,,,,,,,
1,125114,225905.3419,148590,140050,165918,181120,181120,,250887.2774,148327.4839,"122,361"
2,86323,175087.329,90330,100247,90110,133611,133611,,184181.8323,103975.8452,"100,891"
3,71005,154689.9097,84282,56451,116040,134197,134197,,180152.3613,91982.55484,"79,892"
4,61139,149172.8,64419,54828,89216,103391,103391,,"139,120",75112.51613,"76,414"
5,48367,123919.2258," 57,654 ",46757,84926.8129,98229.75484,98229.75484,,130985.7548,82102.55484,68898.16774
6," 50,935 ",126696.4129," 54,427 ",41098,80868.90323,93616.8,93616.8,,"125,032",71614.55484,"56,802"
7," 39,150 ",117450.8903," 47,649 ",34202,57476.59355,69985.2129,69985.2129,,"99,760",58426.83871,"60,065"
8," 45,970 ",86091.81935," 53,177 ",36060,66472.05161,77308.18065,77308.18065,,"102,567",68860.90323,"58,349"
9," 40,019 ",97063.27742," 43,630 ",33195,60027.25161,71173.75484,71173.75484,,"93,563",59226.06452,"58,445"
10," 38,265 ",81678.91613," 45,985 ",28911,58964.23226,67362.47742,67362.47742,,91618.73548,64026.32258,52827.35484
11," 35,303 ",76246.14194," 43,167 ",29756,54580.74839,63198.65806,63198.65806,,83316.59355,57249.08387,
12," 34,032 ",75341.00645,29096,28910,,,,,,,
13," 32,908 ",80899.30323,39430,33650,,,,,,,
14," 30,858 ",77409.1871,29984,38698,,,,,,,
15," 29,597 ",72851.14839,37145,35242,,,,,,,
16,29626,68400,34204,43767,,,,,,,
17,26815,65360,34369,41706,,,,,,,
18,27551,62928,34023,35906,,,,,,,
19,25736,60800,30922,33264,,,,,,,
20,26067,58216,32906,34771,,,,,,,
21,23917,56392,30469,31268,,,,,,,
22,21187,54264,30287,27277,,,,,,,
23,16270,51984,28487,25684,,,,,,,
24,17571,50008,,29160,,,,,,,
25,17299,48336,,28388,,,,,,,
26,15994,46816,,30117,,,,,,,
