Month,Funston,Denison,Gamble 35,Bedsole,Creech,Vague,Burford 36-1,Gamble 32,Jackson,Wilcox,Martinez,Headrick
,Mcf/Mth,Mcf/Mth,Mcf/Mth,Mcf/Mth,Mcf/Mth,Mcf/Mth,Mcf/Mth,Mcf/Mth,Mcf/Mth,Mcf/Mth,,Mcf/Mth
,,,,,,,,,,,,
1,25513,23196,32344," 46,255 "," 43,751 "," 33,277 "," 36,125 ",,"36,443",42264,"33,398",48068
2,21099,18204,"25,968"," 31,819 "," 27,635 "," 23,786 "," 35,664 ","27,533","31,335",27882,"25,559",34214
3,20022,14857,"20,464"," 29,523 "," 19,733 "," 27,350 "," 28,114 ","20,285","25,355",22728,"21,835",27042
4,17135,16537,"16,162"," 28,369 "," 16,178 "," 24,122 "," 21,534 ","17,553","22,874",20791,"19,288",21820
5,16557,16180,"15,169"," 20,146 "," 16,495 "," 19,568 "," 19,534 ","21,086","27,994",18509,"17,742",21155
6,14645,13852,"14,270"," 17,177 "," 19,416 "," 22,303 "," 17,152 ",18179,25135,17066,"15,896",18913
7,"14,077",13581,"13,816"," 14,143 "," 20,319 "," 21,049 "," 16,706 ","17,111","23,365",14648,"14,998",18128
8,"13,025",12820,"17,119"," 18,960 "," 17,912 "," 21,690 "," 15,560 ","16,722","24,676","14,103","13,345",16836
9,"12,760","12,641","14,898"," 15,721 "," 14,169 "," 18,441 "," 12,650 ",14657,21004,"14,538","13,197",16553
10,"13,118","11,616","15,151"," 18,416 "," 13,467 "," 15,704 "," 16,796 ",14474,22137,"12,374","12,052",14196
11,"12,978","10,813","13,417"," 21,076 "," 10,476 "," 15,379 "," 12,785 ",13295,19612,13752,"11,121",15735
12,"12,197","9,290","13,923"," 22,648 "," 11,423 "," 13,294 "," 15,117 ",11593,16773,12034,"10,798",14138
13,"10,979","8,315","9,240"," 21,668 "," 9,661 "," 12,521 "," 12,866 ",12444,18192,9352,"8,800",12972
14,"9,726","9,088","9,673"," 19,114 "," 9,369 "," 11,690 "," 12,787 ","11,822","16,530",10693,"9,312",14478
15,"10,405","9,530","9,791"," 14,371 "," 8,549 "," 10,477 "," 13,593 ","11,440","16,042",9756,"8,931",12476
16,"10,119","8,102","7,689"," 12,959 "," 7,829 "," 9,408 "," 13,451 ","11,101","15,027",9618,"9,597",11357
17,"10,161","9,000","7,474"," 10,285 ","10,266"," 6,746 "," 13,127 ","10,816","15,254",9398,"8,751",11915
18,"8,602","8,013","6,651",9761,"10,780","10,616"," 8,869 ","10,652","15,771",9417,"8,763",11391
19,"9,028","7,902","7,080",13537,"10,231","7,004"," 7,719 ","10,127","15,007",9183,"9,048",11116
20,"9,312","7,701","7,878","13,311","10,056","6,543"," 9,806 ","10,208","14,919",9223,"8,237",10344
21,"8,466","7,854","5,839","10,934","9,215","7,147","6,809","9,750","14,039",8899,"8,979",10486
22,"8,159","7,574","6,043","9,440","8,986","8,165","8,750","9,755","14,100",8533,"6,014",10280
23,"7,909","6,314","5,001","7,024","6,610","7,272","8,712","9,156","13,575",8122,"7,540",9865
24,"7,853","5,652","5,000","6,487","7,340","3,799","8,073","8,007","11,988",7960,"6,692",9871
25,"8,608","5,648","5,019","6,041","4,850","5,551","6,331","8,727","13,226",7219,"5,697",9335
26,"6,999","5,929","5,095","10,275","5,178","9,693","5,665","8,599","12,573",7739,"6,011",9403
27,"6,860","4,590","6,023","9,250","6,027","4,741","7,459","8,416","12,463",7776,"5,980",9093
28,"5,811","5,322","5,274","9,191","4,790","5,518","6,596","8,603","12,567",7450,"6,047",8101
29,"7,634","4,205","4,524","7,782","6,145","6,644","5,037","8,256","11,486",7499,,9339
30,"7,053","5,807","4,489","9,057","5,653","7,022","7,542","8,287","11,224",7022,,8700
31,"7,221","4,664","4,851","9,418","4,993","5,592","8,778","7,836","10,670",6828,,8547
32,"7,007","4,812","5,041","7,834","6,927","6,176","5,997","8,120","10,466",6466,,8754
33,"6,542","4,210","2,970","7,550","5,007","6,504","6,042","7,467","10,664",6690,,8562
34,"6,423","3,881","3,633","10,447","5,063","5,395","4,658","7,182","10,492",6285,,8535
35,"6,190","4,436","3,798","9,386","5,396","6,095","5,144","7,008","10,081",5914,,8096
36,"6,165","4,143","3,970","7,908","5,585","6,061","3,820","5,832","8,450",5892,,8421
37,"6,132","4,137",,"7,437","6,245","5,966","5,559","6,463","9,175",5264,,7995
38,"5,729","4,237",,"5,857","5,630","6,078","5,768","6,222","8,814",5646,,7562
39,"6,097","3,825",,"5,988","5,734","5,024","5,983","6,461","9,955",4577,,6434
40,"6,128","4,227",,"5,268","5,549","5,294","6,224","5,808","8,816",5198,,7059
41,"5,984","4,114",,"5,067","4,815","5,262","6,245","5,809","9,043",5272,,5717
42,,"4,097",,"5,609",,"6,236","5,933","6,346","9,996",5804,,7202
43,,,,"5,811",,,"6,052","6,133","9,835",6034,,6682
44,,,,"6,000",,,"5,641","6,589","10,506",5752,,6837
45,,,,,,,"5,772","4,116","7,071",5505,,7062
46,,,,,,,,"5,209","8,949",6894,,6790
47,,,,,,,,"5,407","9,221",5172,,6407
48,,,,,,,,"5,004","8,134",5410,,6421
49,,,,,,,,"5,432","8,302",4979,,6544
50,,,,,,,,"5,126","8,844",5285,,5991
51,,,,,,,,"5,135","8,094",5075,,6332
52,,,,,,,,,,5134,,6074
53,,,,,,,,,,,,6163
